Year,C02_Emission_Kt,Population_Total
1960,120581.961,450547675.000
1961,130402.187,459642166.000
1962,143467.708,469077191.000
1963,154083.673,478825602.000
1964,150647.694,488848139.000
1965,165972.087,499123328.000
1966,171765.947,509631509.000
1967,172238.990,520400577.000
1968,187336.029,531513834.000
1969,190724.337,543084333.000
1970,195143.072,555189797.000
1971,205869.047,567868021.000
1972,217849.136,581087255.000
1973,224343.393,594770136.000
1974,231992.755,608802595.000
1975,252201.592,623102900.000
1976,263785.645,637630085.000
1977,279051.366,652408766.000
1978,283096.067,667499815.000
1979,296891.321,682995348.000
1980,314016.211,698952837.000
1981,338838.134,715384997.000
1982,349637.449,732239498.000
1983,378669.088,749428958.000
1984,388118.947,766833411.000
1985,426673.785,784360012.000
1986,457571.927,801975250.000
1987,488481.070,819682095.000
1988,527563.956,837468938.000
1989,579008.299,855334675.000
1990,562480.000,873277799.000
1991,607340.000,891273202.000
1992,630260.000,909307018.000
1993,652470.000,927403866.000
1994,687950.000,945601828.000
1995,741100.000,963922586.000
1996,776720.000,982365248.000
1997,821480.000,1000900028.000
1998,839830.000,1019483586.000
1999,904090.000,1038058154.000
2000,940170.000,1056575548.000
2001,953880.000,1075000094.000
2002,987530.000,1093317187.000
2003,1015890.000,1111523146.000
2004,1087190.000,1129623466.000
2005,1137740.000,1147609924.000
2006,1214250.000,1165486291.000
2007,1336100.000,1183209471.000
2008,1423880.000,1200669762.000
2009,1568530.000,1217726217.000
2010,1665310.000,1234281163.000
2011,1760800.000,1250287939.000
2012,1908570.000,1265780243.000
2013,1966810.000,1280842119.000
2014,2136870.000,1295600768.000
2015,2150220.000,1310152392.000
2016,2183280.000,1324517250.000
2017,2301440.000,1338676779.000
2018,2434520.000,1352642283.000
2019,,1366417756.000
2020,,1380004385.000
